Date,Price,Open,High,Low
22-May-12,4860.50,4954.70,4956.35,4849.90
23-May-12,4835.65,4843.00,4853.75,4803.95
24-May-12,4921.40,4863.40,4931.90,4830.15
25-May-12,4920.40,4905.95,4935.80,4889.35
28-May-12,4985.65,4931.70,4994.95,4931.30
29-May-12,4990.10,5005.35,5020.15,4982.15
30-May-12,4950.75,4964.25,4982.25,4944.90
31-May-12,4924.25,4896.10,4949.25,4883.55
1-Jun-12,4841.60,4910.85,4925.00,4831.75
4-Jun-12,4848.15,4797.30,4858.30,4770.35
5-Jun-12,4863.30,4869.45,4898.95,4847.70
6-Jun-12,4997.10,4886.65,5010.45,4886.15
7-Jun-12,5049.65,5035.35,5059.65,5007.75
8-Jun-12,5068.35,5044.25,5084.45,4994.80
11-Jun-12,5054.10,5096.70,5124.45,5040.70
12-Jun-12,5115.90,5015.50,5128.90,5015.15
13-Jun-12,5121.45,5117.55,5144.90,5095.45
14-Jun-12,5054.75,5105.10,5130.00,5047.60
15-Jun-12,5139.05,5069.55,5146.20,5069.15
18-Jun-12,5064.25,5174.00,5190.20,5041.70
19-Jun-12,5103.85,5050.80,5113.60,5048.10
20-Jun-12,5120.55,5114.55,5141.70,5100.70
21-Jun-12,5165.00,5097.35,5170.40,5093.45
22-Jun-12,5146.05,5101.75,5159.80,5094.00
25-Jun-12,5114.65,5158.50,5194.60,5105.65
26-Jun-12,5120.80,5107.45,5134.55,5095.50
27-Jun-12,5141.90,5149.45,5160.10,5129.25
28-Jun-12,5149.15,5148.95,5159.05,5125.30
29-Jun-12,5278.90,5191.25,5286.25,5189.00
2-Jul-12,5278.60,5283.85,5302.15,5263.35
3-Jul-12,5287.95,5298.85,5317.00,5265.95
4-Jul-12,5302.55,5310.40,5317.65,5273.30
5-Jul-12,5327.30,5297.05,5333.65,5288.85
6-Jul-12,5316.95,5324.70,5327.20,5287.75
9-Jul-12,5275.15,5283.70,5300.60,5257.75
10-Jul-12,5345.35,5286.60,5348.55,5284.55
11-Jul-12,5306.30,5315.25,5336.45,5300.25
12-Jul-12,5235.25,5240.00,5261.75,5217.70
13-Jul-12,5227.25,5242.75,5267.15,5216.85
16-Jul-12,5197.25,5232.35,5246.85,5190.45
17-Jul-12,5192.85,5228.05,5236.70,5181.70
18-Jul-12,5216.30,5199.10,5222.85,5169.05
19-Jul-12,5242.70,5249.85,5257.75,5233.15
20-Jul-12,5205.10,5233.55,5238.70,5197.50
23-Jul-12,5117.95,5163.25,5164.20,5108.10
24-Jul-12,5128.20,5128.80,5144.00,5103.25
25-Jul-12,5109.60,5118.40,5121.60,5076.60
26-Jul-12,5043.00,5126.30,5126.30,5032.40
27-Jul-12,5099.85,5124.30,5149.95,5077.50
30-Jul-12,5199.80,5129.75,5206.60,5129.75
31-Jul-12,5229.00,5214.85,5234.55,5154.05
1-Aug-12,5240.50,5220.70,5246.35,5212.65
2-Aug-12,5227.75,5233.10,5236.90,5209.95
3-Aug-12,5215.70,5195.60,5220.20,5164.65
6-Aug-12,5282.55,5260.85,5293.20,5260.85
7-Aug-12,5336.70,5295.40,5350.10,5281.65
8-Aug-12,5338.00,5345.25,5377.60,5331.05
9-Aug-12,5322.95,5348.30,5368.20,5312.10
10-Aug-12,5320.40,5308.20,5330.10,5294.10
13-Aug-12,5347.90,5316.35,5352.45,5309.05
14-Aug-12,5380.35,5343.25,5387.05,5328.80
16-Aug-12,5362.95,5385.95,5390.65,5356.65
17-Aug-12,5366.30,5368.60,5399.95,5341.70
21-Aug-12,5421.00,5368.70,5425.15,5368.70
22-Aug-12,5412.85,5395.75,5433.35,5394.80
23-Aug-12,5415.35,5426.15,5448.60,5393.85
24-Aug-12,5386.70,5392.60,5399.65,5371.00
27-Aug-12,5350.25,5387.85,5399.15,5346.65
28-Aug-12,5334.60,5348.05,5359.25,5312.60
29-Aug-12,5287.80,5343.85,5345.50,5282.70
30-Aug-12,5315.05,5268.60,5342.80,5255.05
31-Aug-12,5258.50,5298.20,5303.25,5238.90
3-Sep-12,5253.75,5276.50,5295.80,5243.15
4-Sep-12,5274.00,5249.15,5278.35,5233.20
5-Sep-12,5225.70,5243.90,5259.50,5215.70
6-Sep-12,5238.40,5217.65,5260.60,5217.65
7-Sep-12,5342.10,5309.45,5347.15,5309.20
8-Sep-12,5358.70,5343.65,5366.30,5343.45
10-Sep-12,5363.45,5361.90,5375.45,5349.10
11-Sep-12,5390.00,5336.10,5393.35,5332.10
12-Sep-12,5431.00,5404.45,5435.55,5393.95
13-Sep-12,5435.35,5435.20,5447.45,5421.85
14-Sep-12,5577.65,5528.35,5586.65,5526.95
17-Sep-12,5610.00,5631.75,5652.20,5585.15
18-Sep-12,5600.05,5602.40,5620.55,5586.45
20-Sep-12,5554.25,5536.95,5581.35,5534.90
21-Sep-12,5691.15,5577.00,5720.00,5575.45
24-Sep-12,5669.60,5691.95,5709.85,5662.75
25-Sep-12,5673.90,5674.90,5702.70,5652.45
26-Sep-12,5663.45,5653.40,5672.80,5638.65
27-Sep-12,5649.50,5673.75,5693.70,5639.70
28-Sep-12,5703.30,5684.80,5735.15,5683.45
1-Oct-12,5718.80,5704.75,5722.95,5694.00
3-Oct-12,5731.25,5727.70,5743.25,5715.80
4-Oct-12,5787.60,5751.55,5807.25,5751.35
5-Oct-12,5746.95,5815.00,5815.35,4888.20
8-Oct-12,5676.00,5751.85,5751.85,5666.20
